Breed	Parity	Conception_status	Calf_sex	Ease_of_calving	Management_Systems	SEMEN_TYPE
JERSEY	C0	P	M	3	Intensive	CS
JERSEY	C0	P	F	1	Intensive	CS
SAHIWAL	C0	P	F	4	Intensive	CS
SAHIWAL	C0	P	F	1	Intensive	CS
HFCB	C1	P	F	1	Intensive	CS
HFCB	C1	P	F	4	Intensive	CS
SAHIWAL	C1	P	M	1	Intensive	CS
HF	C1	P	F	1	Intensive	CS
SAHIWAL	C2	P	M	4	Intensive	CS
HFCB	C2	P	F	1	Intensive	CS
HF	C2	P	M	4	Intensive	CS
HFCB	C2	P	M	2	Intensive	CS
HFCB	C2	P	M	2	Intensive	CS
HFCB	C2	P	F	1	Intensive	CS
HF	C3	P	M	1	Intensive	CS
HF	C0	P	F	1	Semi-Intensive	CS
HFCB	C0	P	M	2	Semi-Intensive	CS
SAHIWAL	C0	P	M	4	Semi-Intensive	CS
HF	C0	P	F	1	Semi-Intensive	CS
SAHIWAL	C0	P	M	2	Semi-Intensive	CS
HFCB	C1	P	M	4	Semi-Intensive	CS
HF	C1	P	F	1	Semi-Intensive	CS
HF	C2	P	F	1	Semi-Intensive	CS
HF	C2	P	F	2	Semi-Intensive	CS
HF	C2	P	F	1	Semi-Intensive	CS
HFCB	C2	P	M	4	Semi-Intensive	CS
HF	C3	P	M	4	Semi-Intensive	CS
HF	C3	P	M	4	Semi-Intensive	CS
SAHIWAL	C3	P	F	1	Semi-Intensive	CS
HF	C4	P	F	4	Semi-Intensive	CS
HFCB	C0	P	F	1	Extensive	CS
HFCB	C0	P	M	4	Extensive	CS
HF	C0	P	F	2	Extensive	CS
HF	C0	P	M	4	Extensive	CS
SAHIWAL	C1	P	F	1	Extensive	CS
GIR	C1	P	M	2	Extensive	CS
HFCB	C1	P	F	1	Extensive	CS
HF	C2	P	M	4	Extensive	CS
HF	C2	P	F	1	Extensive	CS
JERSEY	C2	P	F	2	Extensive	CS
HF	C2	P	M	2	Extensive	CS
HFCB	C3	P	M	4	Extensive	CS
HFCB	C1	P	F	1	Intensive	SSS
HFCB	C2	P	F	1	Intensive	SSS
HF	C2	P	F	1	Intensive	SSS
HF	C1	P	F	1	Intensive	SSS
HF	C2	P	F	2	Intensive	SSS
HF	C3	P	M	2	Intensive	SSS
HF	C1	P	F	1	Intensive	SSS
SAHIWAL	C2	P	F	1	Intensive	SSS
HF	C0	P	F	1	Intensive	SSS
HFCB	C2	P	F	1	Intensive	SSS
HF	C0	P	F	1	Intensive	SSS
HFCB	C1	P	F	1	Intensive	SSS
SAHIWAL	C0	P	F	2	Intensive	SSS
HFCB	C0	P	F	1	Intensive	SSS
SAHIWAL	C0	P	F	1	Semi-Intensive	SSS
HFCB	C1	P	F	1	Semi-Intensive	SSS
HF	C1	P	M	2	Semi-Intensive	SSS
HF	C0	P	F	1	Semi-Intensive	SSS
HFCB	C0	P	F	1	Semi-Intensive	SSS
HF	C0	P	F	1	Semi-Intensive	SSS
HF	C3	P	F	1	Semi-Intensive	SSS
HF	C3	P	F	1	Semi-Intensive	SSS
HFCB	C2	P	F	1	Semi-Intensive	SSS
HF	C1	P	M	2	Semi-Intensive	SSS
SAHIWAL	C0	P	F	1	Extensive	SSS
HFCB	C0	P	F	1	Extensive	SSS
JERSEY	C0	P	F	1	Extensive	SSS
HF	C1	P	F	1	Extensive	SSS
HF	C2	P	F	1	Extensive	SSS
HF	C0	P	M	1	Extensive	SSS
HF	C0	P	F	1	Extensive	SSS
HF	C0	P	F	1	Extensive	SSS
HFCB	C0	P	F	1	Extensive	SSS
